"","precinct","trunc_rate","subst_rate","comp_rate_p100k","share_bl"
"1","01",39.2572944297082,4.77453580901857,4.28409090909091,0.0313093314779655
"2","05",41.5770609318996,6.81003584229391,3.17045454545455,0.070279458
"3","06",49.6551724137931,8.62068965517241,3.29545454545455,0.0275667899076466
"4","07",53.5117056856187,6.68896321070234,3.39772727272727,0.119582650685522
"5","09",47.9623824451411,4.07523510971787,3.625,0.087029796
"6","10",51.1415525114155,8.21917808219178,2.48863636363636,0.087677291
"7","100",52.7397260273973,6.84931506849315,1.65909090909091,0.24794819815387
"8","101",42.7083333333333,7.29166666666667,4.36363636363636,0.480061600523332
"9","102",50.4504504504504,8.40840840840841,3.78409090909091,0.077848882
"10","103",52.1222410865874,6.45161290322581,6.69318181818182,0.351184133356463
"11","104",49.6124031007752,5.81395348837209,2.93181818181818,0.028729016
"12","105",49.4117647058824,8,4.82954545454545,0.529640895902981
"13","106",57.8313253012048,6.82730923694779,2.82954545454545,0.147382739139507
"14","107",45.1127819548872,5.26315789473684,3.02272727272727,0.123684960533327
"15","108",51.0204081632653,8.16326530612245,2.22727272727273,0.032088546
"16","109",44.7470817120623,7.00389105058366,2.92045454545455,0.0228243088348214
"17","110",55.9670781893004,7.40740740740741,2.76136363636364,0.0491850362605012
"18","111",52.9411764705882,10.9243697478992,1.35227272727273,0.0238603726342146
"19","112",56.6115702479339,5.78512396694215,2.75,0.031977885
"20","113",51.2720156555773,6.84931506849315,5.80681818181818,0.73972977570052
"21","114",52.5270758122744,6.13718411552347,6.29545454545455,0.088651241
"22","115",56.2248995983936,4.01606425702811,2.82954545454545,0.056125582
"23","120",46.8239564428312,7.44101633393829,6.26136363636364,0.235323936291984
"24","122",49.2307692307692,4.23076923076923,2.95454545454545,0.0310891582267973
"25","123",43.2098765432099,12.962962962963,1.84090909090909,0.0109094879787171
"26","13",47.6744186046512,6.97674418604651,3.90909090909091,0.050754623
"27","14",53.1914893617021,5.31914893617021,7.47727272727273,0.140463458110517
"28","17",45.1086956521739,4.89130434782609,2.09090909090909,0.027728356
"29","18",42.4686192468619,6.69456066945607,5.43181818181818,0.071229712
"30","19",42.7509293680297,4.83271375464684,3.05681818181818,0.025142899
"31","20",44.8484848484849,7.27272727272727,1.875,0.041352825660048
"32","22",42.8571428571429,9.52380952380952,0.238636363636364,0.449612403100775
"33","23",53.2299741602067,7.49354005167959,4.39772727272727,0.276183979991708
"34","24",45.2471482889734,6.84410646387833,2.98863636363636,0.114700108848347
"35","25",49.0945674044266,8.24949698189135,5.64772727272727,0.404521923288101
"36","26",45.0867052023121,8.67052023121387,1.96590909090909,0.205431782728691
"37","28",49.2424242424242,10.1010101010101,4.5,0.461951219512195
"38","30",48.6238532110092,11.0091743119266,2.47727272727273,0.265201138017732
"39","32",49.7907949790795,7.74058577405858,5.43181818181818,0.615091088133924
"40","33",46.1818181818182,10.1818181818182,3.125,0.140311181876589
"41","34",47.4860335195531,11.731843575419,4.06818181818182,0.085095021
"42","40",50.5992010652463,6.6577896138482,8.53409090909091,0.342260400875863
"43","41",50.1424501424501,8.26210826210826,3.98863636363636,0.302971315
"44","42",49.3506493506493,8.53432282003711,6.125,0.458994186976695
"45","43",51.3368983957219,7.84313725490196,6.375,0.312762279605351
"46","44",48.5111662531017,8.80893300248139,9.15909090909091,0.338469515275599
"47","45",50,9.19117647058824,3.09090909090909,0.269703896818783
"48","46",56.0683760683761,7.17948717948718,6.64772727272727,0.314276232426235
"49","47",51.8260869565217,9.73913043478261,6.53409090909091,0.640079736332006
"50","48",49.8997995991984,9.21843687374749,5.67045454545455,0.325726327116212
"51","49",46.9512195121951,10.6707317073171,3.72727272727273,0.226791568305236
"52","50",40.084388185654,8.0168776371308,2.69318181818182,0.138180526473228
"53","52",50.253807106599,8.79864636209814,6.71590909090909,0.207736506726213
"54","60",46.8950749464668,7.92291220556745,5.30681818181818,0.133053272673907
"55","61",47.5609756097561,9.75609756097561,3.72727272727273,0.0428226743671577
"56","62",54.4715447154472,6.50406504065041,2.79545454545455,0.014320913
"57","63",45.0847457627119,9.15254237288136,3.35227272727273,0.437799595213578
"58","66",54.3624161073826,4.02684563758389,1.69318181818182,0.025932797
"59","67",47.6945244956772,10.0864553314121,7.88636363636364,0.804088743336247
"60","68",49.618320610687,6.48854961832061,2.97727272727273,0.020592190841546
"61","69",44.8275862068966,8.33333333333333,3.95454545454545,0.814726265108029
"62","70",46.3576158940397,9.93377483443709,5.14772727272727,0.295160663069369
"63","71",41.527446300716,9.54653937947494,4.76136363636364,0.536666666666667
"64","72",49.0974729241877,7.94223826714801,3.14772727272727,0.0407115514523756
"65","73",50.5167958656331,7.75193798449612,8.79545454545454,0.718382636590664
"66","75",52.4440762220381,6.37945318972659,13.7159090909091,0.498497467586097
"67","76",55,5.5,2.27272727272727,0.134110360124715
"68","77",46.8431771894094,7.33197556008147,5.57954545454545,0.503935141753977
"69","78",36.8,8.8,2.84090909090909,0.085993743
"70","79",46.3541666666667,9.72222222222222,6.54545454545454,0.386008921245957
"71","81",43.2291666666667,8.33333333333333,4.36363636363636,0.580998534554055
"72","83",46.7966573816156,7.79944289693593,4.07954545454545,0.174372862265729
"73","84",47.4178403755869,7.981220657277,4.84090909090909,0.099379545
"74","88",43.0894308943089,8.53658536585366,2.79545454545455,0.31627105
"75","90",48.3627204030227,11.3350125944584,4.51136363636364,0.074434642
"76","94",46.9798657718121,8.7248322147651,1.69318181818182,0.045375818
