"","precinct","pct_pop","pop_white","pop_nhwhite","pop_black","pop_nhblack","pop_hisp","pop_nonhisp","pop_asian","pop_nhasian","pop_nat","pop_nhnat","pop_birac"
"1",1,84799,57501,55608,2655,2410,7024,77775,14624,14537,96,40,7862
"2",5,50598,13363,11970,3556,2964,6453,44145,27507,27432,109,41,2935
"3",6,64643,50320,48912,1782,1661,5008,59635,5635,5590,72,28,5162
"4",7,57985,18416,15512,6934,5456,17241,40744,17779,17608,396,57,6239
"5",9,75951,41843,38321,6610,5520,17159,58792,11322,11206,480,102,7839
"6",10,65570,38396,34811,5749,4747,12874,52696,10326,9895,273,110,6460
"7",13,100050,67019,64496,5078,4637,10164,89886,15270,15139,194,97,8544
"8",14,28050,13221,12203,3940,3428,3999,24051,7233,7205,103,43,2030
"9",17,89367,61467,59818,2478,2256,6576,82791,16938,16879,90,41,6396
"10",18,67528,37793,35536,4810,4199,11327,56201,13318,13231,289,52,6701
"11",19,220261,170499,166155,5538,5020,17077,203184,22794,22639,240,88,16070
"12",20,114575,82682,80306,4738,4201,11207,103368,13101,12992,226,95,9769
"13",22,129,39,32,58,49,32,97,2,2,3,3,12
"14",23,74769,17324,13021,20650,17320,33989,40780,7765,7647,1135,115,9449
"15",24,107489,63030,59657,12329,10742,21611,85878,9920,9831,476,94,11846
"16",25,50996,8254,5844,20629,17987,22752,28244,2265,2178,906,121,6445
"17",26,50002,18795,17337,10272,9197,12121,37881,8608,8565,391,121,5372
"18",28,49200,12592,11627,22728,21144,10416,38784,2859,2812,237,88,5623
"19",30,60456,13068,10953,16033,14125,30402,30054,2294,2219,1002,94,8961
"20",32,81240,9970,8151,49970,46466,20488,60752,2311,2236,593,186,7914
"21",33,71598,14290,11132,10046,7572,47780,23818,3045,2891,1069,74,12600
"22",34,108608,32088,27090,9242,5589,69464,39144,3024,2860,1288,78,18615
"23",40,100929,9590,2556,34544,27765,67216,33713,1022,909,2348,166,14569
"24",41,54454,4708,941,16498,13025,38895,15559,445,383,1163,86,7932
"25",42,93755,6180,1538,43033,36599,52646,41109,634,518,1001,174,12272
"26",43,188015,16063,4848,58804,50332,103510,84505,21561,21300,3306,641,23819
"27",44,150436,10327,3240,50918,43227,97804,52632,2745,2596,2362,232,20371
"28",45,130799,39963,32282,35277,31226,53720,77079,9313,9147,1214,250,15895
"29",46,132584,8476,1991,41668,34598,90730,41854,2040,1888,2364,276,18689
"30",47,163539,13660,9349,104678,99024,44186,119353,3551,3440,1089,439,14982
"31",48,89216,11313,5653,29060,23765,56181,33035,1243,1148,1502,173,11834
"32",49,119881,32302,26298,27188,23578,53974,65907,11339,11154,1453,239,15608
"33",50,106976,39578,34115,14782,11273,52328,54648,5507,5329,993,134,15519
"34",52,146888,15886,8272,30514,24467,100021,46867,10244,10025,2840,289,22086
"35",60,109024,58916,56425,14506,13052,17519,91505,18049,17940,715,105,6615
"36",61,169513,107999,105654,7259,6642,15677,153836,34533,34347,687,100,9965
"37",62,198870,75907,72496,2848,2353,31489,167381,86466,86067,2283,111,11311
"38",63,112652,41229,39729,49319,48030,10247,102405,8665,8614,405,142,7950
"39",66,205377,123991,121295,5326,4794,25170,180207,42477,42293,1529,153,10691
"40",67,162446,6751,5837,130621,127289,13313,149133,3090,3036,571,345,14528
"41",68,136071,72917,69293,2802,2356,23233,112838,36818,36619,991,103,9874
"42",69,90763,4138,3455,73947,72127,7594,83169,1900,1865,223,126,6960
"43",70,164568,63923,61736,48574,46445,24726,139842,21485,21317,1214,221,13928
"44",71,102000,29584,28532,54740,52807,10478,91522,2708,2640,335,125,8716
"45",72,133230,37667,31915,5424,4209,52310,80920,40609,40415,2815,143,13511
"46",73,98506,5373,3347,70765,66418,21709,76797,1413,1331,697,263,9201
"47",75,200994,12658,6428,100195,92617,73762,127232,15070,14779,2072,736,24545
"48",76,47789,28940,27184,6409,5572,9134,38655,3039,2998,255,56,5236
"49",77,101267,28691,27086,51032,48696,13380,87887,4865,4760,371,161,10110
"50",78,73203,48410,46560,6295,5731,9769,63434,6149,6069,226,48,8315
"51",79,106039,37115,34605,40932,38582,20834,85205,5539,5460,735,185,10054
"52",81,68921,13309,11987,40043,38094,11954,56967,2588,2528,465,198,6723
"53",83,120747,33874,27883,21055,18163,61627,59120,7593,7402,2332,240,16146
"54",84,65597,40166,38723,6519,6053,7193,58404,9446,9376,162,59,6648
"55",88,64372,25351,23975,20359,18974,9832,54540,7347,7289,319,140,6587
"56",90,131377,80989,75685,9779,7867,33797,97580,7995,7869,845,122,12278
"57",94,72748,50876,48597,3301,2825,11679,61069,5836,5762,351,82,7407
"58",100,50809,27528,25976,12598,11780,8671,42138,1876,1843,349,122,4150
"59",101,73376,16237,14213,35225,33092,19922,53454,1769,1710,683,292,6651
"60",102,153297,29355,23382,11934,10249,63683,89614,39235,38847,3222,1545,23090
"61",103,121059,5461,2953,42514,40779,31078,89981,32103,31915,2177,1143,12204
"62",104,178948,94267,85977,5141,3912,64507,114441,19624,19333,1720,159,18933
"63",105,199218,21054,18192,105514,102711,24911,174307,37173,36954,1369,988,16536
"64",106,129391,29507,25670,19070,17971,30577,98814,28115,27838,3298,2581,18855
"65",107,161402,47979,44302,19963,18682,29486,131916,60722,60413,1158,388,14263
"66",108,137962,43712,39285,4427,3778,40652,97310,49115,48826,1725,102,14364
"67",109,269581,62277,55882,6153,5407,48845,220736,154909,154403,1234,157,16945
"68",110,181051,17365,9329,8905,7688,93982,87069,66356,65964,4829,272,18264
"69",111,122211,44586,41967,2916,2641,14460,107751,60251,59980,262,61,7764
"70",112,119739,55730,52603,3829,3443,19600,100139,37348,37151,451,109,12739
"71",113,135221,2734,1654,100027,97441,15209,120012,7096,7019,1480,1126,11981
"72",114,208525,102554,94829,18486,16518,51513,157012,34179,33886,1866,364,23334
"73",115,179134,26261,17643,10054,8690,113447,65687,34726,34456,4894,282,24443
"74",120,122308,46574,41611,28782,26021,35890,86418,14002,13816,1410,248,12593
"75",121,128149,61832,56936,17664,16020,31517,96632,19670,19517,1517,187,10633
"76",122,144552,104075,99681,4494,3831,18737,125815,18771,18642,464,116,9139
"77",123,100738,83038,79753,1099,963,10816,89922,6836,6778,208,73,6455
